track_id,track_name,popularity,duration,artist,liveness,danceability,energy,loudness,speechiness,acousticness,valence
3HquWF2pZmWYu3WAEP9Heb,Só Não Divulga,80,160476,Fernando & Sorocaba|Tarcísio do Acordeon,0.445,0.553,0.785,-4.099,0.0682,0.665,0.914
1jwEnLN5hMOwotwXfchUaf,Rei Lacoste,71,152000,MD Chefe|DomLaike,0.0922,0.892,0.341,-12.385,0.392,0.138,0.472
2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,80,140942,Israel & Rodolffo,0.19,0.606,0.908,-6.201,0.0565,0.556,0.798
1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,81,163324,Matheus & Kauan,0.2,0.585,0.839,-5.674,0.0758,0.182,0.568
5ItttPiqUksUE240dJ9DT6,Faz Amor Comigo Só Hoje,65,148227,Israel & Rodolffo|Wesley Safadão,0.112,0.624,0.922,-4.628,0.0439,0.3,0.884
3ibiPPqHxdmX4nNp4kNHE9,Passatempo,73,162237,Wesley Safadão,0.071,0.716,0.817,-8.206,0.0569,0.193,0.928
0qxLQ6opocOGyFnlXqJ53x,Bipolar,80,276480,Mc Davi|Mc Pedrinho|Mc Don Juan,0.0882,0.601,0.36,-7.791,0.0877,0.586,0.335
6RMYuqlTn8777j5arY9zhC,Cena de Amor,78,222000,Brisa Star|Zé Vaqueiro,0.116,0.632,0.888,-2.955,0.0437,0.0711,0.961
3CUPWFarYwA0HJQqzje4UD,Volta Rapariga,74,196371,Vitinho Imperador,0.0861,0.708,0.735,-7.082,0.0434,0.272,0.962
2aqqXrjrPdRHU9uSeRmL3C,Menina Se Prepara,78,210461,Mc Pepeu|DJ Swat,0.0937,0.541,0.515,-3.182,0.0488,0.496,0.41
3Wrjm47oTz2sjIgck11l5e,Beggin',96,211560,Måneskin,0.359,0.714,0.8,-4.808,0.0504,0.127,0.589
7IG7laqVpcvIIULrwWP5SA,Vida Louca,79,155675,Mc Poze do Rodo|Neo Beats|Mainstreet,0.101,0.852,0.62,-5.79,0.227,0.359,0.744
73ghohUx3BscZn4hQbD35X,Faxina (Ao Vivo No Casa Filtr),78,153241,Guilherme & Benuto|Os Barões Da Pisadinha,0.109,0.532,0.856,-2.966,0.0926,0.544,0.928
1YiO0AdZz9HNoJZr8nkaDR,Vamo Tomar Uma,78,139528,Zé Neto & Cristiano,0.0706,0.673,0.76,-5.712,0.0638,0.462,0.695
